facility_uid,facility_code,state_unique_id,registration_no,start_date,facility_name,state,lga,ownership,ownership_type,facility_level,facility_level_option,physical_location,longitude,latitude,phone_number,email_address,website,ooperational_days,operational_hours,operation_status,registration_status,license_status,doctors,nurses,midwives,beds
,,,,,,,,,,,,,,,,,,,,,,,,,,
34639455,24/06/1/1/2/0033,,BN 2601884,2019-01-01,Hilton Hospital,Lagos,Badagry,Private,For Profit,Primary,,"4 Rahim Oyo St, Morogbo Badagry",3.09165,6.49395,0704-308-4857,haneefomotolani@gmail.com,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,1,1,,10
64527865,24/06/1/1/2/0026,,,2005-01-01,Hopestar Hospital,Lagos,Badagry,Private,For Profit,Primary,Primary Health Clinic,"Lagos/Badagry Exp Way Checkpoint B/stop Off Aramide Close,",3.05962,6.48693,0803-715-8184,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,1,,,5
20621856,24/06/1/1/1/0023,,,2014-11-06,Ibijola Hospital,Lagos,Badagry,Private,For Profit,Primary,Primary Health Clinic,KM 34 Lagos/Badagry Exp Way  Ibijola Crescent Badagry,3.07911,6.48812,0803-335-0495,ibijolamedicalcentre@yahoo.com,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,2,3,2,11
51157415,24/06/1/1/2/0010,,BN 2335889,2009-01-01,Mic Stephen Nursing Home,Lagos,Badagry,Private,For Profit,Primary,Primary Health Clinic,"8 Olateju St, Magbon Badagry",3.03756,6.48234,0809-832-1613,micstephennc@yahoo.com,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,1,2,,6
14097721,24/06/1/1/1/0015,,,2010-01-01,Morogbo Primary Health Centre,Lagos,Badagry,Public,Local Government,Primary,Primary Health Center,"No 14 Oladokun St, Morogbo Badagry",3.09411,6.49499,0803-210-8642,senahoddy@yahoo.com,,"Monday,Tuesday,Wednesday,Thursday,Friday",8HOURLY,Operational,Registered,Licensed,,,,6
46628967,24/06/1/1/1/0023,,,2014-01-03,Oluwatosin Nursing Home,Lagos,Badagry,Private,For Profit,Primary,Primary Health Clinic,7 Joel Akemu Close Magbon Badagry,3.05248,6.48130,0816-506-2478,victoriaolawale550@gmail.com,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,1,2,2,6
56440174,24/06/1/1/2/0015,,,2013-01-01,Omotayo Maternity Home,Lagos,Badagry,Private,For Profit,Primary,Primary Health Clinic,"75 Fagbemi Rd, Ibiye Badagry",3.07997,6.49281,0703-832-8224,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,,1,,6
24626439,24/06/1/1/2/0037,,,2013-02-04,Rock Of Ages Hospital,Lagos,Badagry,Private,For Profit,Primary,Primary Health Center,Agbara/Morogbo Road Badagry,3.03174,6.47679,07031982418,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hour,Operational,Registered,Licensed,,,,
44195218,24/06/1/2/2/0022,,,1993-01-09,Victoria Memorial Hospital,Lagos,Badagry,Private,For Profit,Primary,Primary Health Clinic,"Off Foursquare Gospel Church, Morogbo Badagry",3.09373,6.49476,0803-335-2572,dr.chkwudiwilliams@yahoo.com,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,2,1,,8
43438092,24/06/1/1/1/0007,,,2014-07-07,Gberefu Primary Health Centre,Lagos,Badagry,Public,Local Government,Primary,Primary Health Center,Sea Beach Gberefu Village Badagry,2.88889,6.43671,0802-335-6840,,,"Monday,Tuesday,Wednesday,Thursday,Friday",8 hourly,Operational,Registered,Licensed,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
39192398,24/06/1/1/1/0014,,,1980-01-01,Marina Primary Health Centre,Lagos,Badagry,Public,Local Government,Primary,Primary Health Center,"Awhajingoh Quarters Beside Nigeria Prisons Marina, Badagry",2.88029,6.41532,0802-329-0953,dbestdoc1@yahoo.com,,"Monday,Tuesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,,,,8
60508655,24/06/1/1/1/0023,,,1970-01-01,Nigeria Correctional Service Health Centre,Lagos,Badagry,Public,Military & Paramilitary formations,Primary,Primary Health Clinic,"Awhajigoh Quarters Besides Marina PHC, Badagry",2.88176,6.41526,0802-729-6123,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,1,,,2
53535418,24/06/1/1/1/0021,,,1990-01-01,Seme Primary Health Centre,Lagos,Badagry,Public,Local Government,Primary,Primary Health Center,Seme PHC Rd. Off Custom Quarters Badagry,2.71121,6.37905,0806-269-8366,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,,,,4
42265393,24/06/1/1/2/0025,,,1996-10-02,The Salvation Army Hospital,Lagos,Badagry,Private,For Profit,Primary,,Lagos-Sene Exp Way  Army B/Stop Gbethrome Town Badagry,2.76787,6.38519,0803-612-1635,salvationarmyhospital@yahoo.com,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,1,,2,9
50679368,24/06/1/1/1/0017,,,1990-01-01,"243 Battalion Medical Reception Station, Nigeria Army Barrack Ibereko Badagry",Lagos,Badagry,Public,Military & Paramilitary formations,Primary,Primary Health Clinic,Old Lagos Badagry Exp Way Ibereko Badagry,2.91688,6.43949,0802-859-8860,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,1,2,1,20
30212919,24/06/1/2/2/0002,,1443356,2014-01-04,Access Hospital,Lagos,Badagry,Private,For Profit,Primary,Primary Health Clinic,11 Godo Block Estate Ibereko Badagry,2.92762,6.44393,0803-248-3804,abayomilawal001@gmail.com,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,2,1,,7
77368303,24/06/1/1/2/0022,,,2007-01-01,Hascam Convalescent Home,Lagos,Badagry,Private,For Profit,Primary,Primary Health Clinic,No 3 Adeniran Oke-Aro Ibereko,2.93151,6.44137,0802-977-1082,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,1,1,,3
64772356,24/06/1/1/1/0010,,,2005-01-01,Ibereko Primary Health Centre,Lagos,Badagry,Public,Local Government,Primary,Primary Health Clinic,Aiyelaja Way Behind Main Market Ibereko,2.91778,6.44170,0708-412-3662,dbestdoc1@yahoo.com,,"Monday,Tuesday,Wednesday,Thursday,Friday",8HOURLY,Operational,Registered,Licensed,,,,7
28390575,24/06/1/1/2/0011,,,2009-01-01,Modupe Oluwa Nursing Home,Lagos,Badagry,Private,For Profit,Primary,Primary Health Clinic,KM 107 Lagos Badagry Exp Way Ibereko Badagry Lagos,2.91015,6.43975,0704-337-7824,healthsouvenier@yahoo.com,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,1,2,1,6
72007798,24/06/1/1/2/0014,,,1990-01-03,Ola Oki Hospital,Lagos,Badagry,Private,For Profit,Primary,Primary Health Clinic,Ola-Oki Medical Complex Avenue Lagos-Badagry Exp Way Ibereko Badagry,2.92745,6.44178,0803-323-1276,olaokihospital@gmail.com,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,2,2,1,10
,,,,,,,,,,,,,,,,,,,,,,,,,,
44760057,24/06/1/2/2/0018,,,2007-07-30,Our Lady Of St France's Hospital,Lagos,Badagry,Private,For Profit,Primary,Primary Health Center,Behind Jehovah Witness Hall Itoga New Site Badagry Site,2.92447,6.43338,0810-035-2958,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hour,Operational,Registered,Licensed,,,,
48885817,24/06/1/2/2/0007,,,2002-01-01,Anthony Cardinal Maternity Center,Lagos,Badagry,Private,For Profit,Primary,Primary Health Clinic,St Leos Catholic Church Off Ikoga Market Badagry,2.95478,6.50923,0806-553-8107,padrewizzy@hotmail.com,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,1,,,4
55023189,24/06/1/1/1/0013,,,2007-01-01,Iragbo Iragan Health Post,Lagos,Badagry,Public,Local Government,Primary,Health Post,Iragan Village Opp LGA Primary School Badagry,2.96679,6.50265,0802-329-0953,dbestdoc1@yahoo.com,,"Monday,Tuesday,Wednesday,Thursday,Friday",8Hourly,Operational,Registered,Licensed,,,,2
55710489,24/06/1/1/1/0019,,,1990-01-03,Pota Primary Health Centre,Lagos,Badagry,Public,Local Government,Primary,Primary Health Center,"Opp Alapafuja Mosque Ado-Odo-Ikoga Rd, Badagry",2.95879,6.48829,0802-329-0953,dbestdoc1@yahoo.com,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,,,,8
19890527,24/06/1/2/2/0004,,,2015-06-10,Adejoke Hospital,Lagos,Badagry,Private,For Profit,Primary,Primary Health Clinic,Iyesi-ilogbo Town Off Oko-Afo Rd Ilogbo Badagry,3.01349,6.49589,0803-809-1845,asombaadeola@yahoo.com,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,2,1,1,12
60176848,24/06/1/1/2/0005,,,2017-08-02,Faithline Nursing Home,Lagos,Badagry,Private,For Profit,Primary,Primary Health Clinic,"Ketu Rd, Ilogbo-Eremi Badagry",3.04169,6.50021,0803-706-3468,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,1,2,,10
72215991,24/06/1/1/1/0012,,,2006-01-01,Ilogbo Primary Health Centre,Lagos,Badagry,Public,Local Government,Primary,Primary Health Center,"Ilogbo Eremi Rd, Ilogbo Badagry",3.02702,6.49968,0802-310-8642,senahoddy@yahoo.com,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,,,,6
79511758,24/06/1/1/1/0008,,,2011-01-01,Isamole Primary Health Centre,Lagos,Badagry,Public,Local Government,Primary,Primary Health Center,Isamole Village Along Ilogbo Eremi Market Ilogbo Badagry,2.98755,6.48986,0802-310-8642,senahoddy@yahoo.com,,"Monday,Tuesday,Wednesday,Thursday,Friday",8Hourly,Operational,Registered,Licensed,,,,5
68601286,24/06/1/1/2/0009,,,2009-04-17,Lana Convalescent Home,Lagos,Badagry,Private,Not For Profit,Primary,Primary Health Center,,2.94563,6.44258,0806-282-4237,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",,Operational,Registered,Licensed,,,,
24064988,24/06/1/1/2/0041,,,2021-03-24,Samok Hospital,Lagos,Badagry,Private,For Profit,Primary,Primary Health Center,"Igborosun Rd, Ilogbo Badagry",2.99631,6.48019,0806-753-1198,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hour,Operational,Registered,Licensed,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
71048850,24/06/1/1/2/0020,,,2008-11-04,Yo Omolara Maternity Home,Lagos,Badagry,Private,For Profit,Primary,Primary Health Clinic,"24 Surulere St, Market Square Ilogbo Eremi Badagry",3.02638,6.50288,0806-263-3366,ayoolaflorence@gmail.com,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,,2,,6
70409528,24/06/1/2/2/0003,,,2005-12-16,Adebayo Living Tower Hospital,Lagos,Badagry,Private,For Profit,Primary,Primary Health Clinic,8 Adebayo Ojajuni St. Imeke Badagry,2.98326,6.43562,0803-390-5957,livingtowermedicalservices@gmail.com,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,2,2,2,26
55918017,24/06/1/2/2/0011,,,,Comfort Modupe Nursing Home,Lagos,Badagry,Private,,Secondary,,,2.96830000000006,6.43583000000007,,,,,,Operational,Unknown,Unknown,,,,
71925815,24/06/1/2/1/0003,,,1999-07-04,Ilado Primary Health Centre,Lagos,Badagry,Public,Local Government,Primary,Primary Health Center,Maruwa B/stop Along Ajido Rd. Ilado Baadgry,2.96594,6.43746,0802-310-8642,senahoody@yahoo.com,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,1,,,5
72549545,24/06/1/1/1/0031,,,2019-04-11,Medical Portacabin Primary Health Centrte,Lagos,Badagry,Public,Local Government,Primary,Primary Health Center,Esepe Road Beside Police Station Iworo Badagry,3.02860,6.41699,08023108642,senahoddy@yahoo.com,,"Monday,Tuesday,Wednesday,Thursday,Friday",8Hourly,Operational,Registered,Licensed,,,1,2
34944278,24/06/1/1/2/0012,,,,Morayo Clinic,Lagos,Badagry,Private,,Primary,,,2.99450683600003,6.43450927700007,,,,,,Operational,Unknown,Unknown,,,,
46360372,24/06/1/1/2/0032,,,2017-09-29,Mount Zion Medical Centre,Lagos,Badagry,Private,For Profit,Primary,Primary Health Clinic,32 Bayo Street Ilado Badagry,2.96255,6.43279,0803-829-8948,stanleyolat@gmail.com,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Provisionally Registered,Licensed,1,1,,4
58583067,24/06/1/1/1/0029,,,2019-10-09,Obele-Esepe Primary Health Centre,Lagos,Badagry,Public,Local Government,Primary,Primary Health Center,Esepe Mushin Village Iworo Badagry,3.03169,6.46328,0802-310-8642,senahoddy@yahoo.com,,"Monday,Tuesday,Wednesday,Thursday,Friday",8Hourly,Operational,Registered,Licensed,,,,4
44112870,24/06/1/1/1/0005,,,2009-01-01,Farasime Primary Health Centre,Lagos,Badagry,Public,Local Government,Primary,Primary Health Center,"Church Street, Farasime Badagry West",2.71438,6.42571,0809-166-2619,toyinoau@yahoo.com,,"Monday,Tuesday,Wednesday,Thursday,Friday",8Hourly,Operational,Registered,Licensed,,,,7
32937678,24/06/1/2/2/0001,,,2008-01-01,A-Harmony Hospital,Lagos,Badagry,Private,For Profit,Primary,Primary Health Clinic,4 Ekundayo St Opp Holy Child School Badagry,2.89888,6.42105,0803-383-8599,aharmonyhospital@yahoo.com,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,2,4,2,25
,,,,,,,,,,,,,,,,,,,,,,,,,,
19060900,24/06/1/1/2/0004,,,2012-01-01,Evergreen Medical Centre,Lagos,Badagry,Private,For Profit,Primary,Primary Health Center,"Off Joseph Dosu Rd, Badagry Lagos",2.88844,6.43131,,,,,24hour,Operational,Registered,Licensed,,,,
77485342,24/06/1/2/2/0015,,RC 613585,1995-01-08,Great Physician Hospital,Lagos,Badagry,Private,For Profit,Primary,Primary Health Clinic,"Niyi Adebule St, Off Joseph Dosu Rd Badagry",2.88817,6.42181,0803-301-1650,gadolrapha@yahoo.com,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,2,2,1,10
60628025,24/06/1/1/2/0017,,,2005-01-01,Sacred Heart Catholic Maternity Centre,Lagos,Badagry,Private,For Profit,Primary,Primary Health Clinic,"1 Market Rd, Badagry",2.88568,6.41972,0806-129-4345,shmcbadagry@yahoo.com,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,1,1,,9
58330351,24/06/1/2/1/0004,,,1985-09-02,Seriki Abimbola Memorial Hospital,Lagos,Badagry,Private,For Profit,Primary,Primary Health Clinic,"Seriki Abimbola Close Off Joseph Dosu Rd, Badagry",2.88667,6.41942,0808-541-1481,serikiabimbolahospital@gmail.com,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,1,3,,12
19381638,24/06/1/1/1/0004,,,1972-01-01,Ascon Health Service Centre,Lagos,Badagry,Public,Federal Government,Primary,Primary Health Center,Topo Village Badagry,2.93865,6.41365,0903-293-7254,senami.balogun@gmail.com,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,2,,1,10
36277180,24/06/1/1/1/0009,,,1999-01-01,Topo Health Post,Lagos,Badagry,Public,Local Government,Primary,Health Post,"Topo-Idale Rd, Badagry",2.92263,6.41220,0802-329-0953,dbestdoc1@yahoo.com,,"Monday,Tuesday,Wednesday,Thursday,Friday",8Hourly,Operational,Registered,Licensed,,,,4
82865739,24/06/1/1/1/0011,,,2006-01-01,Igbogbele Primary Health Centre,Lagos,Badagry,Public,Local Government,Primary,Primary Health Center,"KM 117 Owode-Apa Exp Way, Badagry West",2.77917,6.42310,0809-166-2619,toyinoau@yahoo.com,,"Monday,Tuesday,Wednesday,Thursday,Friday",8Hourly,Operational,Registered,Licensed,,,,8
76841942,24/06/1/1/1/0023,,,2014-01-01,Nigeria Airforce Mother and Child Hospital,Lagos,Badagry,Public,Military & Paramilitary formations,Primary,Primary Health Center,KM 74 Owode-Apa Exp Way,2.77169,6.42218,,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,2,,,24
47770413,24/07/1/2/2/0001,,,1983-01-07,Agbowa General Hospital,Lagos,Epe,Public,State Government,Secondary,,26 hospital road off ikosi road agbowa lagos state,3.71481,6.63663,0808-833-2654,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HOURS,Operational,Registered,Licensed,19,4,0,37
79167207,24/07/1/1/1/0002,,,1965-01-07,Agbowa Primary Health Centre,Lagos,Epe,Public,Local Government,Primary,Primary Health Center,"83/85 Bank Road (Ikosi Road) , Agbowa Epe",3.71236,6.63988,0802-959-3983,agbowaphc2019@gmail.com,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",,Operational,Registered,Licensed,3,1,0,13
,,,,,,,,,,,,,,,,,,,,,,,,,,
31910322,24/08/1/1/2/0033,,,2019-12-31,Ado-Ikosi Beach Primary Health Centre,Lagos,Epe,Public,Local Government,Primary,Primary Health Clinic,Ado-ikosi beach road,3.70518,6.61831,,,,"Monday,Tuesday,Wednesday,Thursday,Friday",8hours,Operational,Registered,Licensed,0,0,0,1
45475792,24/07/1/1/2/0036,24/07/1/1/0034,RC1495481,2018-01-08,Mount Paran Hospital,Lagos,Epe,Private,For Profit,Primary,Primary Health Center,6 Idowu Apete Street Ajagnabe,3.97769,6.59183,0814-478-8825,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HOURS,Operational,Provisionally Registered,Not Licensed,1,0,1,
61675452,24/07/1/1/1/0019,,,1999-01-08,Orugbo Health Clinic,Lagos,Epe,Public,Local Government,Primary,Primary Health Clinic,Along Orugbo Road,3.77374,6.63408,,,,"Monday,Tuesday,Wednesday,Thursday,Friday",8hours,Operational,Registered,Licensed,0,0,0,3
75535777,24/07/1/1/1/0037,,,2021-12-31,Erepoto Primary Health Centre,Lagos,Epe,Public,State Government,Primary,Primary Health Center,Along ayetoro rd,6.57803,3.96812,0803-394-2978,,,"Monday,Tuesday,Wednesday,Thursday,Friday",08:00am/04:,Operational,Registered,Licensed,0,0,,3
53431532,24/07/1/1/1/0035,24/07/1/1/0032,,2019-01-07,Erepoto Primary Health Clinic,Lagos,Epe,Public,Local Government,Primary,Primary Health Clinic,"Ago Ilaje,  Ayetoro, Epe",3.96774,6.57727,0803-394-2978,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",8hours,Operational,Registered,Licensed,0,0,0,0
85452632,24/07/1/1/1/0038,,,1985-10-18,Epe LGA Staff Clinic,Lagos,Epe,Public,State Government,Primary,Primary Health Clinic,EPE LOCAL GOV,6.59804,3.98468,0803-394-2978,,,"Monday,Tuesday,Wednesday,Thursday,Friday",08:00am/04:,Operational,Registered,Licensed,1,,,1
36872799,24/07/1/1/1/0007,,,1980-10-28,Epe Primary Health Centre,Lagos,Epe,Public,Local Government,Primary,Primary Health Center,Ayetoro Road Along Ijebu Ode Road BESIDE Cementary Epe,3.9801,6.58962,0906-248-5480,epephc2019@gmail.com,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HOURS,Operational,Registered,Licensed,3,1,1,8
74017750,24/07/1/1/1/0009,,,1990-12-31,Ibowon Primary Health Centre,Lagos,Epe,Public,Local Government,Primary,Primary Health Center,"2, Ojuromi Street, Beside Ansarudeen Primary School, Ibowon, Epe",3.99714,6.67239,0703-498-9195,,,"Monday,Tuesday,Wednesday,Thursday,Friday",8hours,Operational,Registered,Licensed,0,0,1,9
15667460,24/07/1/1/2/0034,24/07/1/1/0033,BN3000467,2018-12-08,Avajoy Maternity Home,Lagos,Epe,Private,For Profit,Primary,Primary Health Clinic,3 Palm Estate Off Ojota Street Temu Epe,3.94038,6.60031,0817-172-8912,avajoy@gmail.com,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HOURS,Operational,Provisionally Registered,Not Licensed,1,1,0,5
64200230,24/07/1/1/1/0010,,,2001-01-01,Igbodu Health Centre,Lagos,Epe,Public,Local Government,Primary,Primary Health Clinic,"Along Igbodu-Molajoye Road, Igbodu",3.91521,6.64572,,,,"Monday,Tuesday,Wednesday,Thursday,Friday",8hours,Operational,Registered,Licensed,0,0,0,2
,,,,,,,,,,,,,,,,,,,,,,,,,,
18634435,24/07/1/1/1/0014,,,1988-01-08,Itokin Primary Health Centre,Lagos,Epe,Public,Local Government,Primary,Primary Health Clinic,Along Ijebu Ode Road Itoikin,3.79477,6.6573,,,,"Monday,Tuesday,Wednesday,Thursday,Friday",8hours,Operational,Registered,Licensed,0,0,0,3
70738351,24/07/1/1/1/0013,,,1991-01-08,Ilara Primary Health Centre,Lagos,Epe,Public,Local Government,Primary,Primary Health Clinic,"Egbe  Road, Beside Adesanwon Secondary School, Ibowon.",3.99989,6.66179,0703-498-9195,,,"Monday,Tuesday,Wednesday,Thursday,Friday",8hours,Operational,Registered,Licensed,0,0,0,2
25052060,24/07/1/1/1/0001,,,2009-01-10,Afuye Primary Health Centre,Lagos,Epe,Public,Local Government,Primary,Primary Health Clinic,Ajilogba Street Beside Oluwo Market Epe,3.98935,6.582596,0803-056-6518,,,"Monday,Tuesday,Wednesday,Thursday,Friday",8hours,Operational,Registered,Licensed,0,0,0,2
15870312,24/07/1/1/1/0005,24/07/1/1/0011,,1989-01-08,Ejinrin Primary Health Centre,Lagos,Epe,Public,Local Government,Primary,Primary Health Center,"Ejinrin Road, opp Ejinrin Police Post, Ejinrin",3.89772,6.61324,0706-643-8810,,,"Monday,Tuesday,Wednesday,Thursday,Friday",8hours,Operational,Registered,Licensed,0,0,0,2
62143396,24/07/1/2/2/0003,24/07/1/1/0010,,1972-01-01,Ketu General Hospital,Lagos,Epe,Public,State Government,Secondary,,Along Ejinrin Road Ketu Epe,3.87583,6.63381,0702-937-5540,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",,Operational,Registered,Licensed,6,2,0,11
15011223,24/07/1/1/1/0022,24/07/1/1/0030,,2016-01-03,G.O Hospital,Lagos,Epe,Private,For Profit,Primary,Primary Health Clinic,16 Araromi Street Off Epe Ijebu Ode Epe,3.98762,6.62629,0802-686-7048,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HOURS,Operational,Provisionally Registered,Not Licensed,2,0,1,7
42779977,24/07/1/1/2/0041,,,2020-07-01,Honourable tunde salau hopital,Lagos,Epe,Private,For Profit,Primary,,"56, epe ijebu- ode rd noforija epe",6.45475,3.883,0703-455-8216,ellabfestac@gmail.com,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Operational,Registered,Licensed,2,,1,4
16951688,24/07/1/1/2/0039,,1500123,2018-08-06,LEADCARE HOSPITAL,Lagos,Epe,Private,For Profit,Primary,Primary Health Center,"45, CENTRAL MOSQ RD, ODOGBONLE NOFORIJA.",6.63339,3.99358,0805-446-8396,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Operational,Registered,,1,1,2,2
63778740,24/07/1/1/1/0004,24/07/1/1/0016,,2010-12-31,Alasco Hospital,Lagos,Epe,Private,For Profit,Primary,Primary Health Clinic,48 Ijebu Ode Road Odomola Epe,3.98782,6.60889,0806-645-8207,alayaridiaedde@gmail.com,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hours,Operational,Registered,Licensed,1,,,6
48823212,24/07/1/1/1/0017,,,2000-12-31,Odomola Primary Health Centre,Lagos,Epe,Public,Local Government,Primary,Primary Health Clinic,"3, Bishop Mission Street Epe",3.98938,6.60815,0805-550-6509,,,"Monday,Tuesday,Wednesday,Thursday,Friday",8hours,Operational,Registered,Licensed,0,0,0,5
,,,,,,,,,,,,,,,,,,,,,,,,,,
85253616,24/07/1/1/1/0008,24/07/1/1/0016,,1990-12-26,Eredo Primary Health Centre,Lagos,Epe,Public,Local Government,Primary,Primary Health Center,Eredo Council Along Ijebu Ode Road Eredo,3.98881,6.64841,0803-063-9118,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hours,Operational,Registered,Licensed,3,0,0,7
34726676,24/07/1/1/2/0040,,01508,2020-01-01,Ireifeidunnu Maternity Home,Lagos,Epe,Private,For Profit,Primary,,,6.65475,3.98329,0705-949-8911,okufuyeesther1972@gmail.com,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Operational,Registered,,1,1,1,4
38149083,24/07/1/1/1/0015,24/07/1/1/0017,,1983-12-28,Mojoda Primary Health Centre,Lagos,Epe,Public,Local Government,Primary,Primary Health Clinic,"Along Ijebu Ode Road Beside Con Oil Filling Station, Mojoda",3.98766,6.61361,0802-314-0423,,,"Monday,Tuesday,Wednesday,Thursday,Friday",8hours,Operational,Registered,Licensed,0,0,0,2
45757436,24/07/1/1/1/0011,24/07/1/1/0021,,1999-12-27,Igbonla Primary Heatlh Centre,Lagos,Epe,Public,Local Government,Primary,Primary Health Center,"Along Igbonla Road, Opposite Igbonla Model College, Igbonla, Epe",4.05315,6.63715,0803-063-9118,,,"Monday,Tuesday,Wednesday,Thursday,Friday",8hours,Operational,Registered,Licensed,0,0,0,0
45717987,24/07/1/1/1/0016,24/07/1/1/0004,,1983-01-03,Odo Ayandelu Primary Health Centre,Lagos,Epe,Public,Local Government,Primary,Primary Health Clinic,"location: Along Shagamu road opp Oba Ayandelu Palace, Odo-Ayandelu",3.71237,6.67471,0817-699-9340,,,"Monday,Tuesday,Wednesday,Thursday,Friday",8hours,Operational,Registered,Licensed,0,0,0,2
47271408,24/07/1/1/1/0020,24/07/1/1/0003,,2012-12-31,Ota Ikosi Primary Health Centre,Lagos,Epe,Public,Local Government,Primary,Primary Health Clinic,"Along Otta Beach Road, Otta, Agbowa, Epe",3.73858,6.67378,0805-948-3866,,,"Monday,Tuesday,Wednesday,Thursday,Friday",8hours,Operational,Registered,Licensed,0,0,0,3
14847180,24/07/1/1/1/0021,24/07/1/1/0006,,2007-04-02,Owu Primary Health Centre,Lagos,Epe,Public,Local Government,Primary,Primary Health Clinic,"Along Jakande way beside community secondary school, Owu Agbowa",3.73212,6.64621,0802-429-2865,,,"Monday,Tuesday,Wednesday,Thursday,Friday",8hours,Operational,Registered,Licensed,0,0,0,0
